"ticket_no","name","ticket_title","description_plain","comments","solution"
T001723,BPS-Biometric,BioMini Installation,BioMini Installation,We have called user they will provide meeting link .," we done below steps to install Bio Mini .
Step 1 > System must be run by Admin Login
Step 2 > Install Spectra Client Setup.
Step 3 > Install Spectra Client Driver.
Step 3 > Control Panel > Programs & Features > Check Whether Both Setup and drivers installed or not.
Step 4 > C Drive > Program files 86 > Spectra (Provide Full Access or rights) > Spectra Client > (Provide Full Access or rights)
Step 5 > Bio-mini Folder > Spectra Client folder > Copy all the files .
Step 6 >  C Drive > Program files 86 > Spectra  > Spectra Client > Paste all the files.
Step 7 > Bio Mini Folder > Spectra Driver folder > Copy all the files except last two Library files.
Step 8 > C Drives > Window > System 32 > Paste all the files
Step 9 > C Drives > Window > SosWow64 > Paste all the files
Step 10 > Install remaining two library from the Spectra Driver folder
Step 11 > Open the I app and get the finger."
T001723,BPS-Biometric,BioMini Installation,BioMini Installation,"We have taken the remote session of user and fond that user wants to install bio Mini Set up on two devices ,
Also ,Client is not having Proper bio mini set up So we have provide our bio mini Setup through We Transfer software.
Then we done below steps to install Bio Mini .
Step 1 > System must be run by Admin Login
Step 2 > Install Spectra Client Setup.
Step 3 > Install Spectra Client Driver.
Step 3 > Control Panel > Programs & Features > Check Whether Both Setup and drivers installed or not.
Step 4 > C Drive > Program files 86 > Spectra (Provide Full Access or rights) > Spectra Client > (Provide Full Access or rights)
Step 5 > Bio-mini Folder > Spectra Client folder > Copy all the files .
Step 6 >  C Drive > Program files 86 > Spectra  > Spectra Client > Paste all the files.
Step 7 > Bio Mini Folder > Spectra Driver folder > Copy all the files except last two Library files.
Step 8 > C Drives > Window > System 32 > Paste all the files
Step 9 > C Drives > Window > SosWow64 > Paste all the files
Step 10 > Install remaining two library from the Spectra Driver folder
Step 11 > Open the I app and get the finger."," we done below steps to install Bio Mini .
Step 1 > System must be run by Admin Login
Step 2 > Install Spectra Client Setup.
Step 3 > Install Spectra Client Driver.
Step 3 > Control Panel > Programs & Features > Check Whether Both Setup and drivers installed or not.
Step 4 > C Drive > Program files 86 > Spectra (Provide Full Access or rights) > Spectra Client > (Provide Full Access or rights)
Step 5 > Bio-mini Folder > Spectra Client folder > Copy all the files .
Step 6 >  C Drive > Program files 86 > Spectra  > Spectra Client > Paste all the files.
Step 7 > Bio Mini Folder > Spectra Driver folder > Copy all the files except last two Library files.
Step 8 > C Drives > Window > System 32 > Paste all the files
Step 9 > C Drives > Window > SosWow64 > Paste all the files
Step 10 > Install remaining two library from the Spectra Driver folder
Step 11 > Open the I app and get the finger."
T001724,iApp,T001383,Leave is not getting accurued as configured.,"Checked configuration with Dhaval, Prakash and client.
Need to discuss with Amit Sharma.",Requested client again to disucss internally and reduce present criteria within a month
T001724,iApp,T001383,Leave is not getting accurued as configured.,Forwarding to Prakash as working with Scope Minar issue with development team.,Requested client again to disucss internally and reduce present criteria within a month
T001724,iApp,T001383,Leave is not getting accurued as configured.,Called Amit Sharma but couldnt connect.,Requested client again to disucss internally and reduce present criteria within a month
T001724,iApp,T001383,Leave is not getting accurued as configured.,"CL leave earning criteria are set as previous 40 days present whereas leave configured as Monthly.

Requested client to discuss internally and reduce earning criteria.",Requested client again to disucss internally and reduce present criteria within a month
T001724,iApp,T001383,Leave is not getting accurued as configured.,"CL leave earning criteria are set as previous 40 days present whereas leave configured as Monthly. Requested client to discuss internally and reduce earning criteria.

",Requested client again to disucss internally and reduce present criteria within a month
T001724,iApp,T001383,Leave is not getting accurued as configured.,"Requested client to discuss internally and reduce earning criteria.

",Requested client again to disucss internally and reduce present criteria within a month
T001724,iApp,T001383,Leave is not getting accurued as configured.,Requested client again to disucss internally and reduce present criteria within a month,Requested client again to disucss internally and reduce present criteria within a month
T001725,iApp,(section and designation,"Please go through the screen shot attached herewith, we need (section and designation) element to be incorporated in both the places. Please do the needful and confirm.",Assign to milan bhai,"Took Any desk ,understood actual query and create new look up and mapped into all employee as per data "
T001725,iApp,(section and designation,"Please go through the screen shot attached herewith, we need (section and designation) element to be incorporated in both the places. Please do the needful and confirm.","Took Any desk ,understood actual query and create new look up and mapped into all employee as per data ","Took Any desk ,understood actual query and create new look up and mapped into all employee as per data "
T001726,iApp,Access Group,Please arrange engineer for support. access group issue,"Had conversation with client.  
Forwarding to Milan as occupied in other calls",Please arrange engineer for support. access group issue 
T001726,iApp,Access Group,Please arrange engineer for support. access group issue,"Client by mistake all allowed access group assigned to all employee 
guided to use lookup value and  assigned to all 800 employee using  filter ",Please arrange engineer for support. access group issue 
T001727,iApp,Aderlin issue ,We have recently encountered that Face Recognition Data is not getting pushed in our adrenaline system for Mumbai site.Request you to please check and help with an update. Due to Hybrid Work Model our dependency on this system will increase for attendance processing.,Assign to milan bhai,Data display in Thirdparty DB and informed to check from Aderlin team 
T001727,iApp,Aderlin issue ,We have recently encountered that Face Recognition Data is not getting pushed in our adrenaline system for Mumbai site.Request you to please check and help with an update. Due to Hybrid Work Model our dependency on this system will increase for attendance processing.,"Hold ,waiting for Adrerlin ",Data display in Thirdparty DB and informed to check from Aderlin team 
T001727,iApp,Aderlin issue ,We have recently encountered that Face Recognition Data is not getting pushed in our adrenaline system for Mumbai site.Request you to please check and help with an update. Due to Hybrid Work Model our dependency on this system will increase for attendance processing.,"Hold ,waiting for Adrerlin",Data display in Thirdparty DB and informed to check from Aderlin team 
T001727,iApp,Aderlin issue ,We have recently encountered that Face Recognition Data is not getting pushed in our adrenaline system for Mumbai site.Request you to please check and help with an update. Due to Hybrid Work Model our dependency on this system will increase for attendance processing.,"According to the email below, no screenshot was discovered. Please let us know if you require any support from our end.",Data display in Thirdparty DB and informed to check from Aderlin team 
T001728,iApp,"We are not able to get  Break fast, lunch & dinner report from canteen device,   ","We are not able to get Break fast, lunch & dinner report from canteen device,",Call is not received by him,in the canteen device network parameter all the details change. device restart. device online show. than after canteen report download properlly.
T001728,iApp,"We are not able to get  Break fast, lunch & dinner report from canteen device,   ","We are not able to get Break fast, lunch & dinner report from canteen device,",Call is not received by him,in the canteen device network parameter all the details change. device restart. device online show. than after canteen report download properlly.
T001728,iApp,"We are not able to get  Break fast, lunch & dinner report from canteen device,   ","We are not able to get Break fast, lunch & dinner report from canteen device,",he will call back,in the canteen device network parameter all the details change. device restart. device online show. than after canteen report download properlly.
T001728,iApp,"We are not able to get  Break fast, lunch & dinner report from canteen device,   ","We are not able to get Break fast, lunch & dinner report from canteen device,",in the canteen device network parameter all the details change. device restart. device online show. than after canteen report download properlly.,in the canteen device network parameter all the details change. device restart. device online show. than after canteen report download properlly.
T001729,Biot Device,Biot guidance,"Need guidance about attendance , leave and reports",Provide guidance about biot and attendance,Provide guidance about biot and attendance
T001730,iApp,Decice configuration ,Device configuration of FP100 in IAPP,We had configure the device and also update the card formate.,We had configure the device and also update the card formate.
T001731,BioScribe 2C,Turnstile devices issue ,The Turnstile Devices are not functioning properly.,"We coordinated with the IT team and found an issue on the network side. After that, access was working fine, but an issue arose with the turnstile. Thanks to the user, we were able to solve the concern.","We coordinated with the IT team and found an issue on the network side. After that, access was working fine, but an issue arose with the turnstile. Thanks to the user, we were able to solve the concern."
T001732,iApp,Finger Not Match entry reported for OUT entry,Kindly check & confirm how the “ Finger Not Match” entry reported for OUT entry. It’s supposed to report only for IN entry.,call is not received by client(9769698484),"Updated firmware from 6.7 to 7.2.
Factory reset, Sync data
It is under observation of client now"
T001732,iApp,Finger Not Match entry reported for OUT entry,Kindly check & confirm how the “ Finger Not Match” entry reported for OUT entry. It’s supposed to report only for IN entry.,call is not received by client(9769698484),"Updated firmware from 6.7 to 7.2.
Factory reset, Sync data
It is under observation of client now"
T001732,iApp,Finger Not Match entry reported for OUT entry,Kindly check & confirm how the “ Finger Not Match” entry reported for OUT entry. It’s supposed to report only for IN entry.,Assigning to Milan,"Updated firmware from 6.7 to 7.2.
Factory reset, Sync data
It is under observation of client now"
T001732,iApp,Finger Not Match entry reported for OUT entry,Kindly check & confirm how the “ Finger Not Match” entry reported for OUT entry. It’s supposed to report only for IN entry.,"Tried to call Shahbaaz, he did not receive.","Updated firmware from 6.7 to 7.2.
Factory reset, Sync data
It is under observation of client now"
T001732,iApp,Finger Not Match entry reported for OUT entry,Kindly check & confirm how the “ Finger Not Match” entry reported for OUT entry. It’s supposed to report only for IN entry.,"Updated firmware from 6.7 to 7.2.
Factory reset, Sync data
It is under observation of client now","Updated firmware from 6.7 to 7.2.
Factory reset, Sync data
It is under observation of client now"
T001733,Biot Device,Biot shift timing issue,Biot shift timing issue,Timing issue resolved,Timing issue resolved.
T001734,iApp,Leave for cast report,Leave for cast report not open in UAT server,I checked with QC team and issue has been resolved we found that service was stopped so we restart the service and issue has been resolved. ,I checked with QC team and issue has been resolved we found that service was stopped so we restart the service and issue has been resolved. 
T001735,ARSWin-Net-100,Regarding shift addidtion,We want to add one more shift which will be work for 12 Hours at our dombivali unit. So please do the needful.,Right know not in office so he said call on tuesday.,"We have created Shift for 12 Hrs. Code - 05

"
T001735,ARSWin-Net-100,Regarding shift addidtion,We want to add one more shift which will be work for 12 Hours at our dombivali unit. So please do the needful.,Right know not in office so he said call on tuesday.,"We have created Shift for 12 Hrs. Code - 05

"
T001735,ARSWin-Net-100,Regarding shift addidtion,We want to add one more shift which will be work for 12 Hours at our dombivali unit. So please do the needful.,Client informed to call on 9082215539 Leela ,"We have created Shift for 12 Hrs. Code - 05

"
T001735,ARSWin-Net-100,Regarding shift addidtion,We want to add one more shift which will be work for 12 Hours at our dombivali unit. So please do the needful.,"9082215539 Leela, informed to call later","We have created Shift for 12 Hrs. Code - 05

"
T001735,ARSWin-Net-100,Regarding shift addidtion,We want to add one more shift which will be work for 12 Hours at our dombivali unit. So please do the needful.,"We have created Shift for 12 Hrs.
Code - ","We have created Shift for 12 Hrs. Code - 05

"
T001736,ARSWin-Net,ARS Win Re-Installation,ARS Win Re-Installation,"We took a client remote session and performed the following steps to install ARS Win:
1. We copied the ARS Win-Net [5.0.0.15] Setup and pasted it on the client system.
2. We then took a remote session of the server system from the client end where ARS Win was already installed.
3. We copied the ARS Win Application folder from the server system and pasted it on the client system.
4. We ran the ARS Win-Net [5.0.0.15] Setup and installed it on the client system.
5. We then copied the ARS Win Application folder from the server and went to the file location of the newly installed ARS Win software.
6. We also installed vc2008redist_x86, vc2008redist_x64, vcredist_x86, and vcredist_x64.
ARS Win Software was successfully installed on the client System.","We took a client remote session and performed the following steps to install ARS Win:
1. We copied the ARS Win-Net [5.0.0.15] Setup and pasted it on the client system.
2. We then took a remote session of the server system from the client end where ARS Win was already installed.
3. We copied the ARS Win Application folder from the server system and pasted it on the client system.
4. We ran the ARS Win-Net [5.0.0.15] Setup and installed it on the client system.
5. We then copied the ARS Win Application folder from the server and went to the file location of the newly installed ARS Win software.
6. We also installed vc2008redist_x86, vc2008redist_x64, vcredist_x86, and vcredist_x64.
ARS Win Software was successfully installed on the client System."
T001737,iApp,Need to remove Date of Reliving,Need to remove Date of Reliving for the below mentioned employee. Because employee revoke his resignation.,"Taken remote of new server.
Resigned employee from front end.","Taken remote of new server.
Resigned employee from front end."
T001738,iApp,Anti Pass back not working.,The Anti-Passback feature is not functioning properly.,Need to forward Yogesh.,"After command send from Hercules utility it is working fine. QUADXS/BSC/BST/FP1000/: FB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FB 00 TWINXS 2c For Flash the Device : FB AA BB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EA 00

"
T001738,iApp,Anti Pass back not working.,The Anti-Passback feature is not functioning properly.,Need to forward setul sir.,"After command send from Hercules utility it is working fine. QUADXS/BSC/BST/FP1000/: FB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FB 00 TWINXS 2c For Flash the Device : FB AA BB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EA 00

"
T001738,iApp,Anti Pass back not working.,The Anti-Passback feature is not functioning properly.,Troubleshot the issue and anti pass back and change version and update the same.,"After command send from Hercules utility it is working fine. QUADXS/BSC/BST/FP1000/: FB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FB 00 TWINXS 2c For Flash the Device : FB AA BB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EA 00

"
T001738,iApp,Anti Pass back not working.,The Anti-Passback feature is not functioning properly.,Pending confirmation ,"After command send from Hercules utility it is working fine. QUADXS/BSC/BST/FP1000/: FB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FB 00 TWINXS 2c For Flash the Device : FB AA BB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EA 00

"
T001738,iApp,Anti Pass back not working.,The Anti-Passback feature is not functioning properly.,"After command send from Hercules utility it is working fine. 
QUADXS/BSC/BST/FP1000/:  FB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FB 00

TWINXS 2c For Flash the Device :  FB AA BB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EA 00
","After command send from Hercules utility it is working fine. QUADXS/BSC/BST/FP1000/: FB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FB 00 TWINXS 2c For Flash the Device : FB AA BB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EA 00

"
T001738,iApp,Anti Pass back not working.,The Anti-Passback feature is not functioning properly.,"After command send from Hercules utility it is working fine. QUADXS/BSC/BST/FP1000/: FB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FB 00 TWINXS 2c For Flash the Device : FB AA BB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EA 00

","After command send from Hercules utility it is working fine. QUADXS/BSC/BST/FP1000/: FB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FB 00 TWINXS 2c For Flash the Device : FB AA BB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EA 00

"
T001739,CMS,printer not working ,printer connectivity issue,check connectivity and issue has been resolved ,check connectivity and issue has been resolved 
T001740,ARSWin-Net,punching issue ,punching issue,start downloading and issue has been resolved ,start downloading and issue has been resolved 
T001741,BioScribe 3S,device configuration,Client wants to configured the device.,First of all we did start the device then after we check ping and ping is getting and also checked in bootloader but there was not showing device in boot loader so we transferred device manager and also registered ocx file in user side and then after we checked but device was not getting in device manager so we restart the device and we found that device is online in software. then after we sync the user on device and also provide assigned access to user on device and it is working properly. ,First of all we did start the device then after we check ping and ping is getting and also checked in bootloader but there was not showing device in boot loader so we transferred device manager and also registered ocx file in user side and then after we checked but device was not getting in device manager so we restart the device and we found that device is online in software. then after we sync the user on device and also provide assigned access to user on device and it is working properly. 
T001742,iApp,device transaction download regarding ,They required that the attendance device punch download be required in iApp.,forwarding to the L2,"the issue concerning the Attendance device has been resolved, and the canteen data has been successfully downloaded to the iApp."
T001742,iApp,device transaction download regarding ,They required that the attendance device punch download be required in iApp.,"the issue concerning the Attendance device has been resolved, and the canteen data has been successfully downloaded to the iApp.","the issue concerning the Attendance device has been resolved, and the canteen data has been successfully downloaded to the iApp."
T001743,iApp,All Employee WeekOff Not Show,All Employee WeekOff Not Show,set card format and assign policy ,set card format and assign policy 
T001744,iApp,Canteen access ,"Dear Pratik, Still canteen punch not working. Mr. Sahil Mansuri (E.No.5001138-Apprentice)","Guide them to change their card, and then check, as the active card is displaying that its validity has expired when punched on the machine.","We made a conference call with the user to change the time zone and save the master of the apprentice, then we re-assigned access but the card validity had expired. 
The card validity was already updated, so we updated it again, however the canteen punch was still not working. 
We performed a factory reset on the device and the user dumped on it, but an error message validity expired was still showing, so we guided them to change the card and then check again."
T001745,ARSWin-Net,ars,add reader,Assign to level2 ,"Mistakenly, Mr. Bhavyaraj's ticket was assigned to me."
T001746,iApp,missed API employee,Need to add manually missed API employee in user master table after upgraded page. Not able to login ESS,Assign to milan bhai,"Added 182 employee from front end to enable ESS portal

"
T001746,iApp,missed API employee,Need to add manually missed API employee in user master table after upgraded page. Not able to login ESS,Added 182 employee from front end to enable ESS portal ,"Added 182 employee from front end to enable ESS portal

"
T001747,MFRW,Attendance cards,We required 5 numbers of Attendance cards for mark attendance.,"Sales Inquiry, forwareded to Aditya.","Sales Inquiry, forwareded to Aditya.

"
T001748,ARSWin-Net,Bodak dev N/w issue ,Need to download data from bodak dev and upload into GO,Assign to milan bhai,data synced into ars 
T001748,ARSWin-Net,Bodak dev N/w issue ,Need to download data from bodak dev and upload into GO,Download data from Reader and imported into ArsWin-Net and resolved ,data synced into ars 
T001749,NetXsControl Ent.,Software trainning,Software training,"give training to user , assign card , assign access , ","give training to user , assign card , assign access ,"
T001750,iApp,Overtime Pending ,"Dear Mr. Shubham, As discussed yesterday, request you to please resolve OT error (Pending At System) in the system. Below sample for your kind refence and perusal.",All Zydus locations are showing OT pending at the system.,"We checked and found a total of 23k records for the same, so we updated the query in the database to clear the OT pending at the system and now all OTs have been cleared properly."
T001751,iApp,Employee can’t generate Coff hours for Coff,Employee can’t generate Coff hours for Coff on 07-09-2023,We had check and found that the employee has already applied COFF.,We had check and found that the employee has already applied COFF.
T001752,iApp,"24.07.2023 not showing overtime hour",on 24.07.2023 not able to apply the over time but showing extra hour for user 127033,We had check and found user has already applied the overtime/Coff for the day ,We had check and found user has already applied the overtime/Coff for the day 
T001753,iApp,OT Problem,The user 126999 - Sainath Borse is not able to apply the OT application for date 21-07-2023,As p-er the policy configured user can apply the Overtime upto 41 hours and here for teh user as per payrol date the user has consumed the overtiem hours  due to which he is not able to apply ,As p-er the policy configured user can apply the Overtime upto 41 hours and here for teh user as per payrol date the user has consumed the overtiem hours  due to which he is not able to apply 
T001754,BioScribe 2C,Finger and card ,"Dear sir, One Punching machine (192.168.85.197) is recording punches without finger at AHL plant.",Users need to change the device mode to Card + Finger.,"Clients need to convert device cards and employ fingerprints, however, many employees do not have their fingerprints available. Therefore, we have provided guidance on how to check how many fingerprints are available in the software and how to collect fingerprints using the BioMini device."
T001755,iApp,Misspunch delete,"Dear Shubhambhai, Request to please help us delete the miss punch of below employees. 128345","The wrong punches were applied, so the miss punch application was deleted.","The wrong punches were applied, so the miss punch application was deleted."
T001756,iApp,iApp Application is not working,"IApp Application is not working and showing """"Out of Memory "" error",Assign to level2 ,IIS reset on 02-10-2023 for /iAPP error the iApp is working fine
T001756,iApp,iApp Application is not working,"IApp Application is not working and showing """"Out of Memory "" error","as per discussed with setul Bhai 
forwarding to the L3",IIS reset on 02-10-2023 for /iAPP error the iApp is working fine
T001756,iApp,iApp Application is not working,"IApp Application is not working and showing """"Out of Memory "" error",IIS reset on 02-10-2023 for /iAPP error the iApp is working fine,IIS reset on 02-10-2023 for /iAPP error the iApp is working fine
T001756,iApp,iApp Application is not working,"IApp Application is not working and showing """"Out of Memory "" error",IIS reset on 02-10-2023 for /iAPP error the iApp is working fine,IIS reset on 02-10-2023 for /iAPP error the iApp is working fine
T001757,iApp,Leave Report ,Leave Report for Year of 01.03.2023 to 31.08.2023,Assign to level2 ,Leave Report was share from database query for location on date 02-10-2023
T001757,iApp,Leave Report ,Leave Report for Year of 01.03.2023 to 31.08.2023,"as per discussed with setul Bhai 
forwarding to the L3",Leave Report was share from database query for location on date 02-10-2023
T001757,iApp,Leave Report ,Leave Report for Year of 01.03.2023 to 31.08.2023,Leave Report was share from database query for location on date 02-10-2023,Leave Report was share from database query for location on date 02-10-2023
T001757,iApp,Leave Report ,Leave Report for Year of 01.03.2023 to 31.08.2023,Leave Report was share from database query for location on date 02-10-2023,Leave Report was share from database query for location on date 02-10-2023
T001758,iApp,VMS is not working,iApp VMS is not working and is displaying the message 'Unique key constraint.',Assign to level2 ,Update sequence table id. UPDATE Sequences SET LastSequence=' ' WHERE TypeOfTrans='visitor'
T001758,iApp,VMS is not working,iApp VMS is not working and is displaying the message 'Unique key constraint.',"as per discussed with setul Bhai 
forwarding to the L3",Update sequence table id. UPDATE Sequences SET LastSequence=' ' WHERE TypeOfTrans='visitor'
T001758,iApp,VMS is not working,iApp VMS is not working and is displaying the message 'Unique key constraint.',"Update sequence table id.

UPDATE Sequences SET LastSequence=' ' WHERE TypeOfTrans='visitor'
",Update sequence table id. UPDATE Sequences SET LastSequence=' ' WHERE TypeOfTrans='visitor'
T001758,iApp,VMS is not working,iApp VMS is not working and is displaying the message 'Unique key constraint.',Update sequence table id. UPDATE Sequences SET LastSequence=' ' WHERE TypeOfTrans='visitor',Update sequence table id. UPDATE Sequences SET LastSequence=' ' WHERE TypeOfTrans='visitor'
T001759,ARSWin-Net,Some users were not detected on some machines,Some users were not detected on some machines; user card data was not detected; and the reader was not working properly.,"1.We have took the remote session of user and found that some of the user not able to punch on device,
So we have set finger data on devices for particular user.
2.Also user wants to add only card on device for some selected employee ,
So we have guided user to add card  manually  on devices.
3.User having data of 958 in system and actual active user is 837 remaining of them wants to delete.
So we have given excel sheet of 958 user using below query on database.
select * from cardunique where cardid<>'00000000' order by empid","1.We have took the remote session of user and found that some of the user not able to punch on device,
So we have set finger data on devices for particular user.
2.Also user wants to add only card on device for some selected employee ,
So we have guided user to add card  manually  on devices.
3.User having data of 958 in system and actual active user is 837 remaining of them wants to delete.
So we have given excel sheet of 958 user using below query on database.
select * from cardunique where cardid<>'00000000' order by empid"
T001760,iApp,Schedular at 10:30 am,We Need to schedule the email configuration for 10:30am,"We had rescheduled the Configuration notification at 10:30 for pending approval and attendance regularization.
Also, we updated the Out Dorr duty for user 2560 from 29-08-2023 to 31-08-2023 where the working hours are shown as 17:00 hours for all the employees.","We had rescheduled the configuration notification at 10:30 for pending approval and attendance regularization.
Also, we updated the Out Door duty for user 2560 from 29-08-2023 to 31-08-2023, where the working hours are shown as 17:00 hours for all the employees."
T001761,iApp,device R & D,Device testing from our side,We checked from my side but it is not working so we requested to QA team and they will check and update us. ,We did testing with QA so we found that Bio mini is working properly and mi fair reader writer wired issue.
T001761,iApp,device R & D,Device testing from our side,Case forwarded to QA team. ,We did testing with QA so we found that Bio mini is working properly and mi fair reader writer wired issue.
T001761,iApp,device R & D,Device testing from our side,We did testing with QA so we found that Bio mini is working properly and mi fair reader writer wired issue  ,We did testing with QA so we found that Bio mini is working properly and mi fair reader writer wired issue.
T001762,Biot Device,biot new install,biot new install,new install,new install
T001763,iApp,Devices offline,Controllers are still showing offline.,Discuss With Paradigm Location IT Team And Mail Activity Regarding Device Network Connectivity,No Response From Client Side.
T001763,iApp,Devices offline,Controllers are still showing offline.,Pending Form Client Side,No Response From Client Side.
T001763,iApp,Devices offline,Controllers are still showing offline.,"Pending from client side

",No Response From Client Side.
T001764,iApp,consider and guide_Continuous 9 Days Working,The client wants to lock in the 10th day punch for those who have been working continuously for 9 days.,"We checked and found that there is an report already avaiable for the user where they can get the data 
Attendance module> Report New> continuous present report.","We checked and found that there is an report already avaiable for the user where they can get the data 
Attendance module> Report New> continuous present report."
T001765,iApp,LEAVE ISSUE ,LEAVE ISSUE,"update new file , also check remotely now issue has been resolved ","update new file , also check remotely now issue has been resolved "
T001766,ARSWin-Net,Attendance issue,Attendance issue,issue has been resolved and third party software attendance issue ,issue has been resolved and third party software attendance issue 
T001767,iApp,DR & DC Report,Generation of DR and DC Reports,Need to forward yogesh.,"Prepared DR & DC reports 1.Taken Snapshot of IAPP Login page DC. 2.Taken Snapshot of IAPP Version details of DC. 3.Taken Snapshot of IAPP Login page DR. 4.Taken Snapshot of IAPP Version details of DR. 5.Made a word file and sent it to client.

"
T001767,iApp,DR & DC Report,Generation of DR and DC Reports,"Prepared DR & DC reports 1.Taken Snapshot of IAPP Login page DC. 2.Taken Snapshot of IAPP Version details of DC. 3.Taken Snapshot of IAPP Login page DR. 4.Taken Snapshot of IAPP Version details of DR. 5.Made a word file and sent it to client.

","Prepared DR & DC reports 1.Taken Snapshot of IAPP Login page DC. 2.Taken Snapshot of IAPP Version details of DC. 3.Taken Snapshot of IAPP Login page DR. 4.Taken Snapshot of IAPP Version details of DR. 5.Made a word file and sent it to client.

"
T001768,iApp,Access control,controller is not working properly.,"Discuss With Paradigm Location IT Team And Mail Activity Regarding Device Network Connectivity

","Take remote access to check the IP ping, update the firmware, check the port, and ensure the server IP and device are online."
T001768,iApp,Access control,controller is not working properly.,Pending From Client IT Team Side,"Take remote access to check the IP ping, update the firmware, check the port, and ensure the server IP and device are online."
T001768,iApp,Access control,controller is not working properly.,"As discussed with Shital Mam, since the person is not present at the first source, she will connect with me once he arrives.","Take remote access to check the IP ping, update the firmware, check the port, and ensure the server IP and device are online."
T001768,iApp,Access control,controller is not working properly.,"As discussed with Shital Mam, since the person is not present at the first source, she will connect with me once he arrives.","Take remote access to check the IP ping, update the firmware, check the port, and ensure the server IP and device are online."
